Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193689,C1299.0000R,2024-04-23,2150.729999999998,161.3,117.8,35.0,4123.0,24.65,152784,328,0,0,0,76,0,0,0,1,1,7,23,0,24,0,0,0,9,1
193689,C1299.0000R,2024-04-24,2148.299999999999,162.3,83.4,31.2,2602.08,1.456,9020,249,0,0,0,20,0,0,0,0,1,3,11,0,5,0,0,0,0,0
193692,C0139.0000R,2024-04-26,2160.2599999999998,158.5,85.2,35.1,2990.5200000000004,13.336,84528,195,0,0,0,21,0,0,0,0,0,2,5,0,2,0,0,0,0,0
193692,C0139.0000R,2024-04-27,2191.449999999999,157.6,91.7,38.0,3484.6,21.752,138242,266,0,0,0,79,0,0,0,0,0,21,22,0,15,0,0,0,0,1
193692,C0139.0000R,2024-04-28,2191.029999999999,158.0,90.8,37.0,3359.6,8.413,53392,211,0,0,0,42,0,0,0,1,0,1,42,0,0,0,0,0,0,0
193694,C0529.0000R,2024-04-28,2191.029999999999,150.3,90.8,37.0,3359.6,13.71,92038,211,0,2,0,36,0,0,0,0,0,6,0,0,2,0,0,0,0,3
193694,C0529.0000R,2024-04-29,2187.909999999999,151.1,83.6,37.8,3160.0799999999995,22.696,149758,198,0,1,0,85,0,0,0,0,3,27,5,0,8,1,0,0,0,1
193694,C0529.0000R,2024-04-30,2187.749999999999,151.4,86.1,37.8,3254.5799999999995,22.697,149756,199,0,0,0,94,0,0,0,0,2,20,10,0,5,0,0,0,0,4
193694,C0529.0000R,2024-05-01,2187.65,152.4,85.4,37.5,3202.5,22.776,149756,183,0,0,0,92,0,0,0,0,2,9,28,0,8,0,0,0,0,0
193694,C0529.0000R,2024-05-02,2175.1099999999983,150.9,94.9,36.1,3425.8900000000003,8.889,59278,210,0,0,0,70,0,0,0,0,1,0,21,0,4,0,0,0,0,0
193782,C1265.0000R,2024-05-15,2147.1299999999987,129.4,79.4,38.2,3033.0800000000004,15.193,114204,228,0,0,0,14,0,0,0,0,0,53,0,0,7,0,0,0,0,7
193782,C1265.0000R,2024-05-16,2179.119999999999,130.6,68.5,39.0,2671.5,18.689,143088,352,0,0,0,76,2,0,0,1,2,147,3,0,12,0,0,0,0,12
